event,treat,series,spore.num,germ.frame,germ.time,lyse.frame,lyse.time,div.frame,cell.size,spore.fate
1,infect,3,1,70,138,206,410,N/A,4.573,Lysed
2,infect,3,2,26,50,152,302,N/A,5.572,Lysed
3,infect,3,3,19,36,N/A,N/A,136,66.021,Divided
4,infect,3,4,68,134,189,376,N/A,6.771,Lysed
5,infect,3,5,19,36,152,302,N/A,7.94,Lysed
6,infect,3,6,194,386,321,640,N/A,5.873,Lysed
7,infect,4,1,19,36,152,302,N/A,7.28,Lysed
8,infect,4,2,195,388,321,640,N/A,5.98,Lysed
9,infect,4,3,23,44,162,322,N/A,9.393,Lysed
10,infect,4,4,48,94,163,324,N/A,4.813,Lysed
11,infect,5,1,24,46,163,324,N/A,10.735,Lysed
12,infect,6,1,24,46,163,324,N/A,10.472,Lysed
13,infect,6,2,20,38,176,350,N/A,9.436,Lysed
14,infect,6,3,12,22,198,394,N/A,7.692,Lysed
15,infect,6,4,42,82,178,354,N/A,7.352,Lysed
16,infect,6,5,6,10,N/A,N/A,364,4.615,Divided
17,infect,7,1,36,70,234,466,N/A,11.449,Lysed
18,infect,7,2,61,120,239,476,N/A,6.895,Lysed
19,infect,7,3,18,34,191,380,N/A,13.203,Lysed
20,infect,7,4,21,40,207,412,N/A,6.111,Lysed
21,infect,8,1,149,296,293,584,N/A,5.726,Lysed
22,infect,8,2,88,174,255,508,N/A,7.092,Lysed
23,infect,8,3,44,86,207,412,N/A,11.647,Lysed
24,infect,8,4,N/A,N/A,N/A,N/A,N/A,N/A,Stayed
25,infect,8,5,52,102,241,480,N/A,3.253,Lysed
26,infect,8,6,60,118,209,416,N/A,5.334,Lysed
27,infect,8,7,35,68,234,466,N/A,14.442,Lysed
28,infect,9,1,271,540,344,686,N/A,4.229,Lysed
29,infect,9,2,20,38,N/A,N/A,115,83.458,Divided
30,infect,9,3,31,60,158,314,N/A,6.447,Lysed
31,infect,10,1,103,204,240,478,N/A,8.905,Lysed
32,infect,10,2,88,174,223,444,NA,7.063,Lysed
